table,metric_group,is_identifier,n_columns
aoi_metrics_long.csv,aoi_fixation_metric,False,7
aoi_metrics_long.csv,aoi_glance_metric,False,2
aoi_metrics_long.csv,aoi_interval_geometry_metric,False,3
aoi_metrics_long.csv,aoi_pupil_metric,False,7
aoi_metrics_long.csv,aoi_sample_metric,False,1
aoi_metrics_long.csv,aoi_visit_metric,False,4
aoi_metrics_long.csv,identifier,True,8
aoi_metrics_long.csv,other_metric,False,1
trial_metrics.csv,fixation_metric,False,9
trial_metrics.csv,identifier,True,5
trial_metrics.csv,interval_media_metric,False,7
trial_metrics.csv,other_metric,False,3
trial_metrics.csv,pupil_metric,False,15
trial_metrics.csv,quality_control_metric,False,7
trial_metrics.csv,saccade_metric,False,3
trial_metrics.csv,scanpath_transition_metric,False,4
trial_metrics.csv,semantic_aoi_class_metric,False,96
