participant,recording,participant_group,picture_id,media_code,aoi_hit_column,aoi_name,semantic_class_auto,aoi_size,duration_of_interval_ms,total_duration_of_fixations_ms,average_duration_of_fixations_ms,minimum_duration_of_fixations_ms,maximum_duration_of_fixations_ms,number_of_fixations,time_to_first_fixation_ms,duration_of_first_fixation_ms,last_aoi_viewed,aoi_at_interval_end,total_duration_of_visit_ms,average_duration_of_visit_ms,number_of_visits,revisit_count,total_duration_of_glances_ms,number_of_glances,aoi_hit_sample_count,aoi_pupil_sum,aoi_pupil_count,aoi_average_pupil_diameter,baseline_period_media_code,baseline_pupil_mean,baseline_pupil_count,aoi_pupil_expansion_rate_vs_baseline_pct
S001,R001,PRO,1,Image_001,AOI hit [Image_001 - AOI_018],AOI_018,human_activities,5350,10566,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,1,Image_001,AOI hit [Image_001 - AOI_019],AOI_019,human_activities,7717,10566,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,1,Image_001,AOI hit [Image_001 - AOI_027],AOI_027,riparian_vegetation,53370,10566,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,1,Image_001,AOI hit [Image_001 - AOI_028],AOI_028,riparian_vegetation,62191,10566,267.0,267.0,267.0,267.0,1,5436.0,267.0,False,False,267.0,267.0,1,0,267.0,1,32,86.211,32,2.69409375,zhidaoyu,2.5884545454545456,1067.0,4.081169002212617
S001,R001,PRO,1,Image_001,AOI hit [Image_001 - AOI_031],AOI_031,river,2089099,10566,650.0,650.0,650.0,650.0,1,3.0,650.0,False,False,650.0,650.0,1,0,650.0,1,30,86.422,30,2.880733333333333,zhidaoyu,2.5884545454545456,1067.0,11.291633009049496
S001,R001,PRO,1,Image_001,AOI hit [Image_001 - AOI_036],AOI_036,traditional_building,218800,10566,2566.0,427.6666666666667,250.0,608.0,6,970.0,500.0,False,False,2566.0,641.5,4,3,2566.0,4,308,801.638,308,2.602720779220779,zhidaoyu,2.5884545454545456,1067.0,0.5511487072966302
S001,R001,PRO,1,Image_001,AOI hit [Image_001 - AOI_037],AOI_037,traditional_building,16676,10566,742.0,371.0,275.0,467.0,2,6803.0,467.0,False,False,742.0,371.0,2,1,742.0,2,89,230.379,89,2.58852808988764,zhidaoyu,2.5884545454545456,1067.0,0.0028412487761758
S001,R001,PRO,1,Image_001,AOI hit [Image_001 - AOI_041],AOI_041,upland_vegetation,174994,10566,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,2,Image_012,AOI hit [Image_012 - AOI_002],AOI_002,traditional_building,1113399,6317,1724.0,344.8,183.0,533.0,5,537.0,183.0,False,False,1724.0,862.0,2,1,1724.0,2,207,533.432,207,2.5769661835748794,zhidaoyu,2.5884545454545456,1067.0,-0.4438309299207246
S001,R001,PRO,2,Image_012,AOI hit [Image_012 - AOI_018],AOI_018,human_activities,36310,6317,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,2,Image_012,AOI hit [Image_012 - AOI_019],AOI_019,human_activities,27638,6317,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,2,Image_012,AOI hit [Image_012 - AOI_020],AOI_020,human_activities,26420,6317,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,2,Image_012,AOI hit [Image_012 - AOI_021],AOI_021,human_activities,61864,6317,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,2,Image_012,AOI hit [Image_012 - AOI_022],AOI_022,human_activities,44668,6317,242.0,242.0,242.0,242.0,1,2670.0,242.0,False,False,242.0,242.0,1,0,242.0,1,29,75.57300000000001,29,2.60596551724138,zhidaoyu,2.5884545454545456,1067.0,0.6765029665127379
S001,R001,PRO,2,Image_012,AOI hit [Image_012 - AOI_023],AOI_023,human_activities,45749,6317,208.0,208.0,208.0,208.0,1,3429.0,208.0,False,False,208.0,208.0,1,0,208.0,1,25,63.223,24,2.6342916666666665,zhidaoyu,2.5884545454545456,1067.0,1.770829674896674
S001,R001,PRO,2,Image_012,AOI hit [Image_012 - AOI_031],AOI_031,river,2833371,6317,267.0,267.0,267.0,267.0,1,2929.0,267.0,False,False,267.0,267.0,1,0,267.0,1,32,84.671,32,2.64596875,zhidaoyu,2.5884545454545456,1067.0,2.2219514979103043
S001,R001,PRO,2,Image_012,AOI hit [Image_012 - AOI_033],AOI_033,sign,75675,6317,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,2,Image_012,AOI hit [Image_012 - AOI_035],AOI_035,sign,53882,6317,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,3,Image_023,AOI hit [Image_023 - AOI_027],AOI_027,riparian_vegetation,10615,4333,158.0,158.0,158.0,158.0,1,3937.0,158.0,False,False,158.0,158.0,1,0,158.0,1,19,49.157,19,2.5872105263157894,zhidaoyu,2.5884545454545456,1067.0,-0.0480603045914295
S001,R001,PRO,3,Image_023,AOI hit [Image_023 - AOI_031],AOI_031,river,62158,4333,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
S001,R001,PRO,3,Image_023,AOI hit [Image_023 - AOI_033],AOI_033,sign,9205,4333,0.0,,,,0,,,False,False,0.0,,0,0,0.0,0,0,0.0,0,,zhidaoyu,2.5884545454545456,1067.0,
