participant,recording,participant_group,picture_id,media_code,interval_start_ms,interval_end_ms,interval_duration_ms,sample_count,valid_sample_count,eyes_not_found_count,pupil_sum,pupil_count,sample_start_ms,sample_end_ms,presented_media_width,presented_media_height,original_media_width,original_media_height,pupil_mean,pupil_median,pupil_within_participant_z,pupil_baseline_corrected_pct,participant_pupil_mean,participant_pupil_std,participant_pupil_median,baseline_period_media_code,baseline_pupil_mean,baseline_pupil_median,baseline_pupil_count,pupil_expansion_rate_vs_baseline_pct,pupil_median_expansion_rate_vs_baseline_pct,valid_sample_ratio,eyes_not_found_ratio,fixation_count,total_fixation_duration_ms,mean_fixation_duration_ms,min_fixation_duration_ms,max_fixation_duration_ms,first_fixation_start_ms,first_fixation_duration_ms,scanpath_length_px,mean_fixation_to_fixation_distance_px,aoi_transition_count,aoi_transition_entropy,time_to_first_fixation_ms,saccade_count,total_saccade_duration_ms,mean_saccade_duration_ms,normalized_scanpath_length,class_birds_fixation_duration_ms,class_birds_fixation_count,class_birds_visit_count,class_birds_visit_duration_ms,class_bridge_fixation_duration_ms,class_bridge_fixation_count,class_bridge_visit_count,class_bridge_visit_duration_ms,class_commercial_building_fixation_duration_ms,class_commercial_building_fixation_count,class_commercial_building_visit_count,class_commercial_building_visit_duration_ms,class_dragon_boat_fixation_duration_ms,class_dragon_boat_fixation_count,class_dragon_boat_visit_count,class_dragon_boat_visit_duration_ms,class_human_activities_fixation_duration_ms,class_human_activities_fixation_count,class_human_activities_visit_count,class_human_activities_visit_duration_ms,class_landmark_fixation_duration_ms,class_landmark_fixation_count,class_landmark_visit_count,class_landmark_visit_duration_ms,class_other_fixation_duration_ms,class_other_fixation_count,class_other_visit_count,class_other_visit_duration_ms,class_riparian_vegetation_fixation_duration_ms,class_riparian_vegetation_fixation_count,class_riparian_vegetation_visit_count,class_riparian_vegetation_visit_duration_ms,class_river_fixation_duration_ms,class_river_fixation_count,class_river_visit_count,class_river_visit_duration_ms,class_sign_fixation_duration_ms,class_sign_fixation_count,class_sign_visit_count,class_sign_visit_duration_ms,class_traditional_building_fixation_duration_ms,class_traditional_building_fixation_count,class_traditional_building_visit_count,class_traditional_building_visit_duration_ms,class_upland_vegetation_fixation_duration_ms,class_upland_vegetation_fixation_count,class_upland_vegetation_visit_count,class_upland_vegetation_visit_duration_ms,class_birds_duration_share_of_trial,class_bridge_duration_share_of_trial,class_commercial_building_duration_share_of_trial,class_dragon_boat_duration_share_of_trial,class_human_activities_duration_share_of_trial,class_landmark_duration_share_of_trial,class_other_duration_share_of_trial,class_riparian_vegetation_duration_share_of_trial,class_river_duration_share_of_trial,class_sign_duration_share_of_trial,class_traditional_building_duration_share_of_trial,class_upland_vegetation_duration_share_of_trial,semantic_attention_entropy,semantic_attention_hhi,semantic_attention_gini,class_birds_aoi_pupil_count,class_bridge_aoi_pupil_count,class_commercial_building_aoi_pupil_count,class_dragon_boat_aoi_pupil_count,class_human_activities_aoi_pupil_count,class_landmark_aoi_pupil_count,class_other_aoi_pupil_count,class_riparian_vegetation_aoi_pupil_count,class_river_aoi_pupil_count,class_sign_aoi_pupil_count,class_traditional_building_aoi_pupil_count,class_upland_vegetation_aoi_pupil_count,class_birds_average_pupil_diameter,class_bridge_average_pupil_diameter,class_commercial_building_average_pupil_diameter,class_dragon_boat_average_pupil_diameter,class_human_activities_average_pupil_diameter,class_landmark_average_pupil_diameter,class_other_average_pupil_diameter,class_riparian_vegetation_average_pupil_diameter,class_river_average_pupil_diameter,class_sign_average_pupil_diameter,class_traditional_building_average_pupil_diameter,class_upland_vegetation_average_pupil_diameter,class_birds_pupil_expansion_rate_vs_baseline_pct,class_bridge_pupil_expansion_rate_vs_baseline_pct,class_commercial_building_pupil_expansion_rate_vs_baseline_pct,class_dragon_boat_pupil_expansion_rate_vs_baseline_pct,class_human_activities_pupil_expansion_rate_vs_baseline_pct,class_landmark_pupil_expansion_rate_vs_baseline_pct,class_other_pupil_expansion_rate_vs_baseline_pct,class_riparian_vegetation_pupil_expansion_rate_vs_baseline_pct,class_river_pupil_expansion_rate_vs_baseline_pct,class_sign_pupil_expansion_rate_vs_baseline_pct,class_traditional_building_pupil_expansion_rate_vs_baseline_pct,class_upland_vegetation_pupil_expansion_rate_vs_baseline_pct
S001,R001,PRO,1,Image_001,64815,75381,10566,1268,1268,0,3351.225,1268,64818,75376,1440.0,1080.0,4032.0,3024.0,2.64292192429022,2.619,0.3736978583650098,0.4988488104374653,2.606153670177099,0.0983903260082579,2.606,zhidaoyu,2.5884545454545456,2.546,1067.0,2.104243203007836,2.8672427336999373,1.0,0.0,29,10576.0,364.6896551724138,175.0,675.0,64818.0,650.0,7237.936567250406,258.49773454465736,12,1.9508257945180885,3.0,28,900.0,32.142857142857146,4.02107587069467,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,267.0,1,1,267.0,650.0,1,1,650.0,0.0,0,0,0.0,3308.0,8,5,3308.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252458396369137,0.0614599092284417,0.0,0.3127836611195159,0.0,0.9436029123706524,0.6406864185427682,0.8699605522682445,,,,,0.0,,,32.0,30.0,,397.0,0.0,,,,,,,,2.69409375,2.880733333333333,,2.5995390428211587,,,,,,,,,4.081169002212617,11.291633009049496,,0.4282283954368844,
S001,R001,PRO,2,Image_012,75381,81698,6317,758,757,0,1960.456,757,75385,81693,1440.0,1080.0,4032.0,3024.0,2.5897701453104363,2.593,-0.1665156070860844,-0.4988488104374482,2.606153670177099,0.0983903260082579,2.606,zhidaoyu,2.5884545454545456,2.546,1067.0,0.0508256889502251,1.8460329929300925,0.9986807387862796,0.0,20,5932.0,296.6,125.0,675.0,75385.0,675.0,4144.9609490622,218.1558394243263,9,2.5032583347756456,4.0,19,560.0,29.473684210526315,2.302756082812333,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,450.0,2,2,450.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,267.0,1,1,267.0,0.0,0,0,0.0,1724.0,5,2,1724.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0758597437626432,0.0,0.0,0.0,0.0450101146325016,0.0,0.2906271072151045,0.0,1.1532691534485653,0.5447638416569592,0.8494810869862078,,,,,53.0,,,,32.0,0.0,207.0,,,,,,2.6187924528301885,,,,2.64596875,,2.5769661835748794,,,,,,1.1720471363469671,,,,2.2219514979103043,,-0.4438309299207246,
S001,R001,PRO,3,Image_023,81698,86031,4333,520,520,0,1348.764,520,81701,86026,1440.0,1080.0,960.0,720.0,2.593776923076923,2.5805,-0.1257923172155901,-0.9785111281657743,2.606153670177099,0.0983903260082579,2.606,zhidaoyu,2.5884545454545456,2.546,1067.0,0.2056198990136324,1.3550667714061264,1.0,0.0,17,4306.0,253.2941176470588,108.0,575.0,81701.0,458.0,4076.9599234829607,254.80999521768504,6,1.9182958340544891,3.0,23,592.0,25.73913043478261,2.264977735268312,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,158.0,1,1,158.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,392.0,2,2,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366929865304226,0.0,0.0,0.0,0.0910357640501625,0.8651721409481241,0.590505785123967,0.8687878787878788,,,,,,,,19.0,0.0,0.0,,47.0,,,,,,,,2.5872105263157894,,,,2.6045744680851066,,,,,,,,-0.0480603045914295,,,,0.6227624378750802
S001,R001,PRO,4,Image_026,86031,90031,4000,480,464,16,1207.551,464,86035,90027,1439.0,1080.0,1706.0,1280.0,2.602480603448276,2.593,-0.0373315840879993,-0.4988488104374482,2.606153670177099,0.0983903260082579,2.606,zhidaoyu,2.5884545454545456,2.546,1067.0,0.5418699748218887,1.8460329929300925,0.9666666666666668,0.0333333333333333,11,3991.0,362.8181818181818,175.0,833.0,86035.0,408.0,2031.7743188889983,203.17743188889983,4,1.0,4.0,12,358.0,29.83333333333333,1.129265343437225,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,1125.0,2,2,1125.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818842395389627,0.0,0.0,0.0,0.0,-0.0,1.0,0.9166666666666666,,,,,0.0,,,135.0,0.0,,,,,,,,,,,2.641674074074074,,,,,,,,,,,,2.0560348920549765,,,,
S001,R001,PRO,5,Image_027,90031,94631,4600,552,551,0,1460.85,551,90035,94627,810.0,1080.0,1280.0,1706.0,2.651270417422867,2.662,0.4585486101751651,2.148887183422872,2.606153670177099,0.0983903260082579,2.606,zhidaoyu,2.5884545454545456,2.546,1067.0,2.426771297901653,4.556166535742346,0.9981884057971014,0.0,13,4376.0,336.61538461538464,75.0,808.0,90035.0,342.0,2028.6809749398967,169.0567479116581,4,2.0,4.0,18,433.0,24.05555555555556,1.5027266481036274,0.0,0,0,0.0,0.0,0,0,0.0,225.0,1,1,225.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,192.0,2,1,192.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.051416819012797,0.0,0.0,0.0,0.0,0.0438756855575868,0.0,0.0,0.0,0.0,0.9954777505134998,0.5031313079033176,0.8399280575539568,,,27.0,,,,,23.0,0.0,,,,,,2.5622962962962963,,,,,2.5813478260869567,,,,,,,-1.0105740200918132,,,,,-0.2745545360287914,,,,
S001,R001,PRO,6,Image_028,94631,97681,3050,366,366,0,910.635,366,94635,97677,1620.0,1080.0,5472.0,3648.0,2.4880737704918032,2.503,-1.2001169675500958,-3.952417498081342,2.606153670177099,0.0983903260082579,2.606,zhidaoyu,2.5884545454545456,2.546,1067.0,-3.878019613634551,-1.688923802042408,1.0,0.0,9,3125.0,347.22222222222223,133.0,742.0,94635.0,317.0,1963.3441346327688,245.41801682909608,6,2.584962500721156,4.0,8,250.0,31.25,1.008395719202268,1167.0,3,2,1167.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,2109.0,5,3,2109.0,450.0,2,2,450.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.37344,0.0,0.0,0.0,0.0,0.0,0.0,0.67488,0.144,0.0,0.0,0.0,1.3576183714555836,0.4330646896984501,0.8242082662372517,106.0,,,,,,,219.0,49.0,,,,2.495198113207547,,,,,,,2.5067168949771688,2.5352244897959184,,,,-3.6027842331927884,,,,,,,-3.1577780888952507,-2.0564415841144195,,,
S001,R001,PRO,7,Image_029,97681,106131,8450,1014,1014,0,2676.319,1014,97685,106127,1620.0,1080.0,6000.0,4000.0,2.639367850098618,2.6525,0.3375756669281881,1.7843438219493473,2.606153670177099,0.0983903260082579,2.606,zhidaoyu,2.5884545454545456,2.546,1067.0,1.966938331348308,4.183032207384134,1.0,0.0,27,8128.0,301.037037037037,67.0,742.0,97685.0,742.0,8063.878094575029,310.14915748365496,14,2.148834854280917,4.0,32,1001.0,31.28125,4.141698853145459,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,550.0,2,2,550.0,0.0,0,0,0.0,0.0,0,0,0.0,2327.0,11,6,2327.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0676673228346456,0.0,0.0,0.2862942913385827,0.0,0.0,0.0,0.0,0.7039154312050993,0.6907502589364019,0.8848047734909049,,,,,66.0,,,279.0,0.0,,0.0,,,,,,2.715015151515152,,,2.661032258064516,,,,,,,,,4.889427410763417,,,2.80390137572323,,,,
S001,R001,PRO,8,Image_030,106131,111731,5600,672,661,11,1631.685,661,106135,111727,1920.0,1079.0,2275.0,1279.0,2.4685098335854763,2.439,-1.3989570131119424,-6.408288564850338,2.606153670177099,0.0983903260082579,2.606,zhidaoyu,2.5884545454545456,2.546,1067.0,-4.633834968425393,-4.202670856245081,0.9836309523809524,0.0163690476190476,19,5357.0,281.94736842105266,100.0,617.0,106135.0,617.0,5731.74957356772,318.43053186487333,1,-0.0,4.0,19,644.0,33.89473684210526,2.6024814383412256,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,892.0,2,1,892.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1665111069628523,0.0,0.0,0.0,-0.0,1.0,0.9166666666666666,0.0,,,,,0.0,,0.0,72.0,,,,,,,,,,,,2.6257916666666663,,,,,,,,,,,,1.442448401409504,,,
S001,R001,PRO,9,Image_031,111731,117497,5766,692,692,0,1772.49,692,111735,117494,1621.0,1080.0,2731.0,1820.0,2.5614017341040465,2.555,-0.4548408150339552,-1.957022256331532,2.606153670177099,0.0983903260082579,2.606,zhidaoyu,2.5884545454545456,2.546,1067.0,-1.0451337226688089,0.353495679497264,1.0,0.0,19,5850.0,307.89473684210526,125.0,725.0,111735.0,458.0,6196.761161348299,344.2645089637944,5,1.9219280948873625,4.0,18,617.0,34.27777777777778,3.181366823730592,0.0,0,0,0.0,0.0,0,0,0.0,1200.0,2,2,1200.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,308.0,1,1,308.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.2051282051282051,0.0,0.0,0.0,0.0,0.0,0.0526495726495726,0.0,0.0,0.0,0.7303353796286864,0.6749431854160657,0.8826259946949602,,,89.0,,,,,,37.0,0.0,,,,,2.5510112359550563,,,,,,2.6614324324324325,,,,,,-1.446550783178386,,,,,,2.8193613484942115,,,
S001,R001,PRO,10,Image_002,117497,125547,8050,966,966,0,2540.499,962,117502,125544,810.0,1080.0,3072.0,4096.0,2.640851351351351,2.653,0.3526533815056156,1.8035303146584865,2.606153670177099,0.0983903260082579,2.606,zhidaoyu,2.5884545454545456,2.546,1067.0,2.024250570241498,4.202670856245098,1.0,0.0,22,8016.0,364.3636363636364,175.0,825.0,117502.0,725.0,5736.495495276746,273.1664521560355,10,2.721928094887362,5.0,21,691.0,32.904761904761905,4.249255922427219,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,200.0,1,1,200.0,2150.0,6,3,2150.0,1558.0,3,3,1558.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249500998003992,0.2682135728542914,0.1943612774451097,0.0,1.2226783247114266,0.4642252880740135,0.8331627430910952,,,,,,,,,24.0,226.0,140.0,,,,,,,,,,2.685625,2.6123938053097344,2.639228571428572,,,,,,,,,,3.753995012819155,0.9248476044220046,1.9615575658142363,
